ensembl_id,ensembl_base_id,gene_symbol,gene_description
ENSG00000004660.15,ENSG00000004660,CAMKK1,NA
ENSG00000004700.16,ENSG00000004700,RECQL,NA
ENSG00000004766.17,ENSG00000004766,VPS50,NA
ENSG00000004776.13,ENSG00000004776,HSPB6,NA
ENSG00000004777.18,ENSG00000004777,ARHGAP33,NA
ENSG00000004779.10,ENSG00000004779,NDUFAB1,NA
ENSG00000004799.8,ENSG00000004799,PDK4,NA
ENSG00000004809.14,ENSG00000004809,SLC22A16,NA
ENSG00000004838.14,ENSG00000004838,ZMYND10,NA
ENSG00000004846.16,ENSG00000004846,ABCB5,NA
ENSG00000004848.8,ENSG00000004848,ARX,NA
ENSG00000004864.14,ENSG00000004864,SLC25A13,NA
ENSG00000004866.22,ENSG00000004866,ST7,NA
ENSG00000004897.12,ENSG00000004897,CDC27,NA
ENSG00000004939.15,ENSG00000004939,SLC4A1,NA
ENSG00000004948.16,ENSG00000004948,CALCR,NA
ENSG00000004961.15,ENSG00000004961,HCCS,NA
ENSG00000004975.12,ENSG00000004975,DVL2,NA
ENSG00000005001.10,ENSG00000005001,PRSS22,NA
ENSG00000005007.13,ENSG00000005007,UPF1,NA
ENSG00000005020.13,ENSG00000005020,SKAP2,NA
ENSG00000005022.6,ENSG00000005022,SLC25A5,NA
ENSG00000005059.16,ENSG00000005059,MCUB,NA
ENSG00000005073.6,ENSG00000005073,HOXA11,NA
ENSG00000005075.15,ENSG00000005075,POLR2J,NA
ENSG00000005100.13,ENSG00000005100,DHX33,NA
ENSG00000005102.14,ENSG00000005102,MEOX1,NA
ENSG00000005108.16,ENSG00000005108,THSD7A,NA
ENSG00000005156.12,ENSG00000005156,LIG3,NA
ENSG00000005175.10,ENSG00000005175,RPAP3,NA
ENSG00000005187.12,ENSG00000005187,ACSM3,NA
ENSG00000005189.20,ENSG00000005189,REXO5,NA
ENSG00000005194.15,ENSG00000005194,CIAPIN1,NA
ENSG00000005206.17,ENSG00000005206,SPPL2B,NA
ENSG00000005238.20,ENSG00000005238,FAM214B,NA
ENSG00000005243.10,ENSG00000005243,COPZ2,NA
ENSG00000005249.13,ENSG00000005249,PRKAR2B,NA
ENSG00000005302.19,ENSG00000005302,MSL3,NA
ENSG00000005339.15,ENSG00000005339,CREBBP,NA
ENSG00000005379.17,ENSG00000005379,TSPOAP1,NA
ENSG00000005381.8,ENSG00000005381,MPO,NA
ENSG00000005421.9,ENSG00000005421,PON1,NA
ENSG00000005436.14,ENSG00000005436,GCFC2,NA
ENSG00000005448.17,ENSG00000005448,WDR54,NA
ENSG00000005469.12,ENSG00000005469,CROT,NA
ENSG00000005471.19,ENSG00000005471,ABCB4,NA
ENSG00000005483.21,ENSG00000005483,KMT2E,NA
ENSG00000005486.17,ENSG00000005486,RHBDD2,NA
ENSG00000005513.10,ENSG00000005513,SOX8,NA
ENSG00000005700.15,ENSG00000005700,IBTK,NA
ENSG00000005801.18,ENSG00000005801,ZNF195,NA
ENSG00000005810.18,ENSG00000005810,MYCBP2,NA
ENSG00000005812.11,ENSG00000005812,FBXL3,NA
ENSG00000005844.19,ENSG00000005844,ITGAL,NA
ENSG00000005882.12,ENSG00000005882,PDK2,NA
ENSG00000005884.18,ENSG00000005884,ITGA3,NA
ENSG00000005889.16,ENSG00000005889,ZFX,NA
ENSG00000005893.16,ENSG00000005893,LAMP2,NA
ENSG00000005961.19,ENSG00000005961,ITGA2B,NA
ENSG00000005981.13,ENSG00000005981,ASB4,NA
ENSG00000006007.12,ENSG00000006007,GDE1,NA
ENSG00000006015.18,ENSG00000006015,REX1BD,NA
ENSG00000006016.11,ENSG00000006016,CRLF1,NA
ENSG00000006025.12,ENSG00000006025,OSBPL7,NA
ENSG00000006042.12,ENSG00000006042,TMEM98,NA
ENSG00000006047.13,ENSG00000006047,YBX2,NA
ENSG00000006059.4,ENSG00000006059,KRT33A,NA
ENSG00000006062.17,ENSG00000006062,MAP3K14,NA
ENSG00000006071.15,ENSG00000006071,ABCC8,NA
ENSG00000006118.15,ENSG00000006118,TMEM132A,NA
ENSG00000006125.18,ENSG00000006125,AP2B1,NA
ENSG00000006128.12,ENSG00000006128,TAC1,NA
ENSG00000006194.10,ENSG00000006194,ZNF263,NA
ENSG00000006210.7,ENSG00000006210,CX3CL1,NA
ENSG00000006282.21,ENSG00000006282,SPATA20,NA
ENSG00000006283.18,ENSG00000006283,CACNA1G,NA
ENSG00000006327.14,ENSG00000006327,TNFRSF12A,NA
ENSG00000006377.11,ENSG00000006377,DLX6,NA
ENSG00000006432.15,ENSG00000006432,MAP3K9,NA
ENSG00000006451.8,ENSG00000006451,RALA,NA
ENSG00000006453.14,ENSG00000006453,BAIAP2L1,NA
ENSG00000006459.11,ENSG00000006459,KDM7A,NA
ENSG00000006468.14,ENSG00000006468,ETV1,NA
ENSG00000006530.18,ENSG00000006530,AGK,NA
ENSG00000006534.16,ENSG00000006534,ALDH3B1,NA
ENSG00000006555.11,ENSG00000006555,TTC22,NA
ENSG00000006576.16,ENSG00000006576,PHTF2,NA
ENSG00000006606.9,ENSG00000006606,CCL26,NA
ENSG00000006607.14,ENSG00000006607,FARP2,NA
ENSG00000006611.17,ENSG00000006611,USH1C,NA
ENSG00000006625.18,ENSG00000006625,GGCT,NA
ENSG00000006634.8,ENSG00000006634,DBF4,NA
ENSG00000006638.13,ENSG00000006638,TBXA2R,NA
ENSG00000006652.15,ENSG00000006652,IFRD1,NA
ENSG00000006695.12,ENSG00000006695,COX10,NA
ENSG00000006704.11,ENSG00000006704,GTF2IRD1,NA
ENSG00000006712.15,ENSG00000006712,PAF1,NA
ENSG00000006715.16,ENSG00000006715,VPS41,NA
ENSG00000006740.17,ENSG00000006740,ARHGAP44,NA
ENSG00000006744.19,ENSG00000006744,ELAC2,NA
ENSG00000006747.15,ENSG00000006747,SCIN,NA
ENSG00000006756.16,ENSG00000006756,ARSD,NA
ENSG00000006757.12,ENSG00000006757,PNPLA4,NA
ENSG00000006788.14,ENSG00000006788,MYH13,NA
ENSG00000006831.10,ENSG00000006831,ADIPOR2,NA
ENSG00000006837.12,ENSG00000006837,CDKL3,NA
ENSG00000007001.13,ENSG00000007001,UPP2,NA
ENSG00000007038.11,ENSG00000007038,PRSS21,NA
ENSG00000007047.15,ENSG00000007047,MARK4,NA
ENSG00000007062.12,ENSG00000007062,PROM1,NA
ENSG00000007080.11,ENSG00000007080,CCDC124,NA
ENSG00000007129.18,ENSG00000007129,CEACAM21,NA
ENSG00000007168.14,ENSG00000007168,PAFAH1B1,NA
ENSG00000007171.18,ENSG00000007171,NOS2,NA
ENSG00000007174.18,ENSG00000007174,DNAH9,NA
ENSG00000007202.15,ENSG00000007202,KIAA0100,NA
ENSG00000007216.15,ENSG00000007216,SLC13A2,NA
ENSG00000007237.19,ENSG00000007237,GAS7,NA
ENSG00000007255.10,ENSG00000007255,TRAPPC6A,NA
ENSG00000007264.15,ENSG00000007264,MATK,NA
ENSG00000007306.15,ENSG00000007306,CEACAM7,NA
ENSG00000007312.13,ENSG00000007312,CD79B,NA
ENSG00000007314.12,ENSG00000007314,SCN4A,NA
ENSG00000007341.19,ENSG00000007341,ST7L,NA
ENSG00000007350.17,ENSG00000007350,TKTL1,NA
ENSG00000007372.24,ENSG00000007372,PAX6,NA
ENSG00000007376.8,ENSG00000007376,RPUSD1,NA
ENSG00000007384.15,ENSG00000007384,RHBDF1,NA
ENSG00000007392.17,ENSG00000007392,LUC7L,NA
ENSG00000007402.12,ENSG00000007402,CACNA2D2,NA
ENSG00000007516.14,ENSG00000007516,BAIAP3,NA
ENSG00000007520.4,ENSG00000007520,TSR3,NA
ENSG00000007541.17,ENSG00000007541,PIGQ,NA
ENSG00000007545.16,ENSG00000007545,CRAMP1,NA
ENSG00000007866.22,ENSG00000007866,TEAD3,NA
ENSG00000007908.16,ENSG00000007908,SELE,NA
ENSG00000007923.16,ENSG00000007923,DNAJC11,NA
ENSG00000007933.13,ENSG00000007933,FMO3,NA
ENSG00000007944.15,ENSG00000007944,MYLIP,NA
ENSG00000007952.18,ENSG00000007952,NOX1,NA
ENSG00000007968.7,ENSG00000007968,E2F2,NA
ENSG00000008018.9,ENSG00000008018,PSMB1,NA
ENSG00000008056.14,ENSG00000008056,SYN1,NA
ENSG00000008083.14,ENSG00000008083,JARID2,NA
ENSG00000008086.13,ENSG00000008086,CDKL5,NA
ENSG00000008118.10,ENSG00000008118,CAMK1G,NA
ENSG00000008128.23,ENSG00000008128,CDK11A,NA
ENSG00000008130.15,ENSG00000008130,NADK,NA
ENSG00000008196.13,ENSG00000008196,TFAP2B,NA
ENSG00000008226.20,ENSG00000008226,DLEC1,NA
ENSG00000008256.16,ENSG00000008256,CYTH3,NA
ENSG00000008277.14,ENSG00000008277,ADAM22,NA
ENSG00000008282.9,ENSG00000008282,SYPL1,NA
ENSG00000008283.16,ENSG00000008283,CYB561,NA
ENSG00000008294.21,ENSG00000008294,SPAG9,NA
ENSG00000008300.17,ENSG00000008300,CELSR3,NA
ENSG00000008311.15,ENSG00000008311,AASS,NA
ENSG00000008323.15,ENSG00000008323,PLEKHG6,NA
ENSG00000008324.12,ENSG00000008324,SS18L2,NA
ENSG00000008382.16,ENSG00000008382,MPND,NA
ENSG00000008394.13,ENSG00000008394,MGST1,NA
ENSG00000008405.12,ENSG00000008405,CRY1,NA
ENSG00000008438.5,ENSG00000008438,PGLYRP1,NA
ENSG00000008441.18,ENSG00000008441,NFIX,NA
ENSG00000008513.16,ENSG00000008513,ST3GAL1,NA
ENSG00000008516.17,ENSG00000008516,MMP25,NA
ENSG00000008517.18,ENSG00000008517,IL32,NA
ENSG00000008710.20,ENSG00000008710,PKD1,NA
ENSG00000008735.14,ENSG00000008735,MAPK8IP2,NA
ENSG00000008838.20,ENSG00000008838,MED24,NA
ENSG00000008853.17,ENSG00000008853,RHOBTB2,NA
ENSG00000008869.12,ENSG00000008869,HEATR5B,NA
ENSG00000008952.17,ENSG00000008952,SEC62,NA
ENSG00000008988.11,ENSG00000008988,RPS20,NA
ENSG00000009307.16,ENSG00000009307,CSDE1,NA
ENSG00000009335.18,ENSG00000009335,UBE3C,NA
ENSG00000009413.16,ENSG00000009413,REV3L,NA
ENSG00000009694.13,ENSG00000009694,TENM1,NA
ENSG00000009724.17,ENSG00000009724,MASP2,NA
ENSG00000009765.15,ENSG00000009765,IYD,NA
ENSG00000009780.16,ENSG00000009780,FAM76A,NA
ENSG00000009790.15,ENSG00000009790,TRAF3IP3,NA
ENSG00000009830.12,ENSG00000009830,POMT2,NA
ENSG00000009844.16,ENSG00000009844,VTA1,NA
ENSG00000009950.16,ENSG00000009950,MLXIPL,NA
ENSG00000009954.11,ENSG00000009954,BAZ1B,NA
ENSG00000010017.13,ENSG00000010017,RANBP9,NA
ENSG00000010030.14,ENSG00000010030,ETV7,NA
ENSG00000010072.16,ENSG00000010072,SPRTN,NA
ENSG00000010165.20,ENSG00000010165,EEF1AKNMT,NA
ENSG00000010219.13,ENSG00000010219,DYRK4,NA
ENSG00000010244.19,ENSG00000010244,ZNF207,NA
ENSG00000010256.11,ENSG00000010256,UQCRC1,NA
ENSG00000010270.14,ENSG00000010270,STARD3NL,NA
ENSG00000010278.15,ENSG00000010278,CD9,NA
ENSG00000010282.15,ENSG00000010282,HHATL,NA
ENSG00000010292.13,ENSG00000010292,NCAPD2,NA
ENSG00000010295.20,ENSG00000010295,IFFO1,NA
ENSG00000010310.9,ENSG00000010310,GIPR,NA
ENSG00000010318.21,ENSG00000010318,PHF7,NA
ENSG00000010319.7,ENSG00000010319,SEMA3G,NA
ENSG00000010322.16,ENSG00000010322,NISCH,NA
ENSG00000010327.10,ENSG00000010327,STAB1,NA
ENSG00000010361.14,ENSG00000010361,FUZ,NA
ENSG00000010379.16,ENSG00000010379,SLC6A13,NA
ENSG00000010404.18,ENSG00000010404,IDS,NA
ENSG00000010438.17,ENSG00000010438,PRSS3,NA
ENSG00000010539.12,ENSG00000010539,ZNF200,NA
ENSG00000010610.10,ENSG00000010610,CD4,NA
ENSG00000010626.15,ENSG00000010626,LRRC23,NA
ENSG00000010671.16,ENSG00000010671,BTK,NA
ENSG00000010704.18,ENSG00000010704,HFE,NA
ENSG00000010803.16,ENSG00000010803,SCMH1,NA
ENSG00000010810.17,ENSG00000010810,FYN,NA
ENSG00000010818.10,ENSG00000010818,HIVEP2,NA
ENSG00000010932.17,ENSG00000010932,FMO1,NA
ENSG00000011007.12,ENSG00000011007,ELOA,NA
ENSG00000011009.11,ENSG00000011009,LYPLA2,NA
ENSG00000011021.23,ENSG00000011021,CLCN6,NA
ENSG00000011028.14,ENSG00000011028,MRC2,NA
ENSG00000011083.9,ENSG00000011083,SLC6A7,NA
ENSG00000011105.14,ENSG00000011105,TSPAN9,NA
ENSG00000011114.15,ENSG00000011114,BTBD7,NA
ENSG00000011132.12,ENSG00000011132,APBA3,NA
ENSG00000011143.19,ENSG00000011143,MKS1,NA
ENSG00000011198.10,ENSG00000011198,ABHD5,NA
ENSG00000011201.12,ENSG00000011201,ANOS1,NA
ENSG00000011243.18,ENSG00000011243,AKAP8L,NA
ENSG00000011258.16,ENSG00000011258,MBTD1,NA
ENSG00000011260.14,ENSG00000011260,UTP18,NA
ENSG00000011275.19,ENSG00000011275,RNF216,NA
ENSG00000011295.16,ENSG00000011295,TTC19,NA
ENSG00000011304.22,ENSG00000011304,PTBP1,NA
ENSG00000011332.19,ENSG00000011332,DPF1,NA
ENSG00000011347.10,ENSG00000011347,SYT7,NA
ENSG00000011376.12,ENSG00000011376,LARS2,NA
ENSG00000011405.13,ENSG00000011405,PIK3C2A,NA
ENSG00000011422.12,ENSG00000011422,PLAUR,NA
ENSG00000011426.11,ENSG00000011426,ANLN,NA
ENSG00000011451.21,ENSG00000011451,WIZ,NA
ENSG00000011454.18,ENSG00000011454,RABGAP1,NA
ENSG00000011465.18,ENSG00000011465,DCN,NA
ENSG00000011478.13,ENSG00000011478,QPCTL,NA
ENSG00000011485.15,ENSG00000011485,PPP5C,NA
ENSG00000011523.14,ENSG00000011523,CEP68,NA
ENSG00000011566.15,ENSG00000011566,MAP4K3,NA
ENSG00000011590.14,ENSG00000011590,ZBTB32,NA
ENSG00000011600.12,ENSG00000011600,TYROBP,NA
ENSG00000011638.11,ENSG00000011638,TMEM159,NA
ENSG00000011677.13,ENSG00000011677,GABRA3,NA
ENSG00000012048.23,ENSG00000012048,BRCA1,NA
ENSG00000012061.16,ENSG00000012061,ERCC1,NA
ENSG00000012124.17,ENSG00000012124,CD22,NA
ENSG00000012171.20,ENSG00000012171,SEMA3B,NA
ENSG00000012174.12,ENSG00000012174,MBTPS2,NA
ENSG00000012211.13,ENSG00000012211,PRICKLE3,NA
ENSG00000012223.13,ENSG00000012223,LTF,NA
ENSG00000012232.9,ENSG00000012232,EXTL3,NA
ENSG00000012504.15,ENSG00000012504,NR1H4,NA
ENSG00000012660.14,ENSG00000012660,ELOVL5,NA
ENSG00000012779.11,ENSG00000012779,ALOX5,NA
ENSG00000012817.16,ENSG00000012817,KDM5D,NA
ENSG00000012822.16,ENSG00000012822,CALCOCO1,NA
ENSG00000012963.15,ENSG00000012963,UBR7,NA
ENSG00000012983.11,ENSG00000012983,MAP4K5,NA
ENSG00000013016.16,ENSG00000013016,EHD3,NA
ENSG00000013275.8,ENSG00000013275,PSMC4,NA
ENSG00000013288.9,ENSG00000013288,MAN2B2,NA
ENSG00000013293.6,ENSG00000013293,SLC7A14,NA
ENSG00000013297.12,ENSG00000013297,CLDN11,NA
ENSG00000013306.16,ENSG00000013306,SLC25A39,NA
ENSG00000013364.19,ENSG00000013364,MVP,NA
ENSG00000013374.16,ENSG00000013374,NUB1,NA
ENSG00000013375.16,ENSG00000013375,PGM3,NA
ENSG00000013392.8,ENSG00000013392,RWDD2A,NA
ENSG00000013441.16,ENSG00000013441,CLK1,NA
ENSG00000013503.10,ENSG00000013503,POLR3B,NA
ENSG00000013523.11,ENSG00000013523,ANGEL1,NA
ENSG00000013561.18,ENSG00000013561,RNF14,NA
ENSG00000013563.14,ENSG00000013563,DNASE1L1,NA
ENSG00000013573.17,ENSG00000013573,DDX11,NA
ENSG00000013583.10,ENSG00000013583,HEBP1,NA
ENSG00000013588.9,ENSG00000013588,GPRC5A,NA
ENSG00000013619.14,ENSG00000013619,MAMLD1,NA
ENSG00000013725.14,ENSG00000013725,CD6,NA
ENSG00000013810.20,ENSG00000013810,TACC3,NA
ENSG00000014123.10,ENSG00000014123,UFL1,NA
ENSG00000014138.9,ENSG00000014138,POLA2,NA
ENSG00000014164.7,ENSG00000014164,ZC3H3,NA
ENSG00000014216.16,ENSG00000014216,CAPN1,NA
ENSG00000014257.16,ENSG00000014257,ACP3,NA
ENSG00000014641.21,ENSG00000014641,MDH1,NA
ENSG00000014824.14,ENSG00000014824,SLC30A9,NA
ENSG00000014914.21,ENSG00000014914,MTMR11,NA
ENSG00000014919.13,ENSG00000014919,COX15,NA
ENSG00000015133.19,ENSG00000015133,CCDC88C,NA
ENSG00000015153.15,ENSG00000015153,YAF2,NA
ENSG00000015171.20,ENSG00000015171,ZMYND11,NA
ENSG00000015285.11,ENSG00000015285,WAS,NA
ENSG00000015413.9,ENSG00000015413,DPEP1,NA
ENSG00000015475.19,ENSG00000015475,BID,NA
ENSG00000015479.20,ENSG00000015479,MATR3,NA
ENSG00000015520.15,ENSG00000015520,NPC1L1,NA
ENSG00000015532.10,ENSG00000015532,XYLT2,NA
ENSG00000015592.16,ENSG00000015592,STMN4,NA
ENSG00000015676.18,ENSG00000015676,NUDCD3,NA
ENSG00000016082.15,ENSG00000016082,ISL1,NA
ENSG00000016391.11,ENSG00000016391,CHDH,NA
ENSG00000016402.13,ENSG00000016402,IL20RA,NA
ENSG00000016602.9,ENSG00000016602,CLCA4,NA
ENSG00000016864.18,ENSG00000016864,GLT8D1,NA
ENSG00000017260.20,ENSG00000017260,ATP2C1,NA
ENSG00000017427.17,ENSG00000017427,IGF1,NA
ENSG00000017483.15,ENSG00000017483,SLC38A5,NA
ENSG00000017797.13,ENSG00000017797,RALBP1,NA
ENSG00000018189.13,ENSG00000018189,RUFY3,NA
ENSG00000018236.15,ENSG00000018236,CNTN1,NA
ENSG00000018280.17,ENSG00000018280,SLC11A1,NA
ENSG00000018408.15,ENSG00000018408,WWTR1,NA
ENSG00000018510.17,ENSG00000018510,AGPS,NA
ENSG00000018607.7,ENSG00000018607,ZNF806,NA
ENSG00000018610.15,ENSG00000018610,CXorf56,NA
ENSG00000018625.15,ENSG00000018625,ATP1A2,NA
ENSG00000018699.13,ENSG00000018699,TTC27,NA
ENSG00000018869.17,ENSG00000018869,ZNF582,NA
ENSG00000019102.12,ENSG00000019102,VSIG2,NA
ENSG00000019144.19,ENSG00000019144,PHLDB1,NA
ENSG00000019169.10,ENSG00000019169,MARCO,NA
ENSG00000019186.10,ENSG00000019186,CYP24A1,NA
ENSG00000019485.13,ENSG00000019485,PRDM11,NA
ENSG00000019505.8,ENSG00000019505,SYT13,NA
ENSG00000019549.13,ENSG00000019549,SNAI2,NA
ENSG00000019582.15,ENSG00000019582,CD74,NA
ENSG00000019991.18,ENSG00000019991,HGF,NA
ENSG00000019995.6,ENSG00000019995,ZRANB1,NA
ENSG00000020129.16,ENSG00000020129,NCDN,NA
ENSG00000020181.18,ENSG00000020181,ADGRA2,NA
ENSG00000020256.20,ENSG00000020256,ZFP64,NA
ENSG00000020426.11,ENSG00000020426,MNAT1,NA
ENSG00000020577.14,ENSG00000020577,SAMD4A,NA
ENSG00000020633.19,ENSG00000020633,RUNX3,NA
ENSG00000020922.13,ENSG00000020922,MRE11,NA
ENSG00000021300.14,ENSG00000021300,PLEKHB1,NA
ENSG00000021355.13,ENSG00000021355,SERPINB1,NA
ENSG00000021461.17,ENSG00000021461,CYP3A43,NA
ENSG00000021488.13,ENSG00000021488,SLC7A9,NA
ENSG00000021574.13,ENSG00000021574,SPAST,NA
ENSG00000021645.20,ENSG00000021645,NRXN3,NA
ENSG00000021762.20,ENSG00000021762,OSBPL5,NA
ENSG00000021776.11,ENSG00000021776,AQR,NA
ENSG00000021826.17,ENSG00000021826,CPS1,NA
ENSG00000021852.13,ENSG00000021852,C8B,NA
ENSG00000022267.19,ENSG00000022267,FHL1,NA
ENSG00000022277.13,ENSG00000022277,RTF2,NA
ENSG00000022556.16,ENSG00000022556,NLRP2,NA
ENSG00000022567.10,ENSG00000022567,SLC45A4,NA
ENSG00000022840.16,ENSG00000022840,RNF10,NA
ENSG00000022976.15,ENSG00000022976,ZNF839,NA
ENSG00000023041.11,ENSG00000023041,ZDHHC6,NA
ENSG00000023171.18,ENSG00000023171,GRAMD1B,NA
ENSG00000023191.17,ENSG00000023191,RNH1,NA
ENSG00000023228.14,ENSG00000023228,NDUFS1,NA
ENSG00000023287.13,ENSG00000023287,RB1CC1,NA
ENSG00000023318.8,ENSG00000023318,ERP44,NA
ENSG00000023330.15,ENSG00000023330,ALAS1,NA
ENSG00000023445.16,ENSG00000023445,BIRC3,NA
ENSG00000023516.9,ENSG00000023516,AKAP11,NA
ENSG00000023572.10,ENSG00000023572,GLRX2,NA
ENSG00000023608.5,ENSG00000023608,SNAPC1,NA
ENSG00000023697.13,ENSG00000023697,DERA,NA
ENSG00000023734.11,ENSG00000023734,STRAP,NA
ENSG00000023839.12,ENSG00000023839,ABCC2,NA
ENSG00000023892.11,ENSG00000023892,DEF6,NA
ENSG00000023902.14,ENSG00000023902,PLEKHO1,NA
ENSG00000023909.10,ENSG00000023909,GCLM,NA
ENSG00000024048.11,ENSG00000024048,UBR2,NA
ENSG00000024422.12,ENSG00000024422,EHD2,NA
ENSG00000024526.17,ENSG00000024526,DEPDC1,NA
ENSG00000024862.18,ENSG00000024862,CCDC28A,NA
ENSG00000025039.15,ENSG00000025039,RRAGD,NA
ENSG00000025156.13,ENSG00000025156,HSF2,NA
ENSG00000025293.17,ENSG00000025293,PHF20,NA
ENSG00000025423.11,ENSG00000025423,HSD17B6,NA
ENSG00000025434.19,ENSG00000025434,NR1H3,NA
ENSG00000025708.14,ENSG00000025708,TYMP,NA
ENSG00000025770.19,ENSG00000025770,NCAPH2,NA
ENSG00000025772.8,ENSG00000025772,TOMM34,NA
ENSG00000025796.14,ENSG00000025796,SEC63,NA
ENSG00000025800.14,ENSG00000025800,KPNA6,NA
ENSG00000026025.16,ENSG00000026025,VIM,NA
ENSG00000026036.22,ENSG00000026036,RTEL1-TNFRSF6B,NA
ENSG00000026103.22,ENSG00000026103,FAS,NA
ENSG00000026297.16,ENSG00000026297,RNASET2,NA
ENSG00000026508.20,ENSG00000026508,CD44,NA
ENSG00000026559.14,ENSG00000026559,KCNG1,NA
ENSG00000026652.15,ENSG00000026652,AGPAT4,NA
ENSG00000026751.17,ENSG00000026751,SLAMF7,NA
ENSG00000026950.17,ENSG00000026950,BTN3A1,NA
ENSG00000027001.10,ENSG00000027001,MIPEP,NA
ENSG00000027075.15,ENSG00000027075,PRKCH,NA
ENSG00000027644.5,ENSG00000027644,INSRR,NA
ENSG00000027697.15,ENSG00000027697,IFNGR1,NA
ENSG00000027847.14,ENSG00000027847,B4GALT7,NA
ENSG00000027869.12,ENSG00000027869,SH2D2A,NA
ENSG00000028116.18,ENSG00000028116,VRK2,NA
ENSG00000028137.19,ENSG00000028137,TNFRSF1B,NA
ENSG00000028203.18,ENSG00000028203,VEZT,NA
ENSG00000028277.21,ENSG00000028277,POU2F2,NA
ENSG00000028310.18,ENSG00000028310,BRD9,NA
ENSG00000028528.15,ENSG00000028528,SNX1,NA
ENSG00000028839.10,ENSG00000028839,TBPL1,NA
ENSG00000029153.14,ENSG00000029153,ARNTL2,NA
ENSG00000029363.17,ENSG00000029363,BCLAF1,NA
ENSG00000029364.12,ENSG00000029364,SLC39A9,NA
ENSG00000029534.21,ENSG00000029534,ANK1,NA
ENSG00000029559.7,ENSG00000029559,IBSP,NA
ENSG00000029639.11,ENSG00000029639,TFB1M,NA
ENSG00000029725.17,ENSG00000029725,RABEP1,NA
ENSG00000029993.15,ENSG00000029993,HMGB3,NA
ENSG00000030066.13,ENSG00000030066,NUP160,NA
ENSG00000030110.13,ENSG00000030110,BAK1,NA
ENSG00000030304.14,ENSG00000030304,MUSK,NA
ENSG00000030419.16,ENSG00000030419,IKZF2,NA
ENSG00000030582.18,ENSG00000030582,GRN,NA
ENSG00000031003.10,ENSG00000031003,FAM13B,NA
ENSG00000031081.11,ENSG00000031081,ARHGAP31,NA
ENSG00000031691.7,ENSG00000031691,CENPQ,NA
ENSG00000031698.13,ENSG00000031698,SARS1,NA
